top - 16:02:43 up 67 days, 42 min,  2 users,  load average: 7.21, 7.53, 7.59
Tasks: 3677 total,   5 running, 3671 sleeping,   0 stopped,   1 zombie
%Cpu(s):  1.2 us,  1.0 sy,  0.2 ni, 97.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 2064034.+total, 1517178.+free, 244541.8 used, 302314.2 buff/cache
MiB Swap:  16367.0 total,  16356.0 free,     11.0 used. 1803344.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  51259 root      30  10   56916  39468   2604 R  97.4   0.0  10:10.44 find
 326782 mdasilv+  20   0  190.3g   2.2g 477984 R  97.4   0.1 875:05.20 python
1514830 mdasilv+  20   0  190.3g   2.2g 479416 R  97.4   0.1 662:19.92 python
1840106 mdasilv+  20   0  190.3g   2.2g 475404 R  94.7   0.1 574:24.81 python
2902903 root      20   0   75936  13752   4324 S  81.6   0.0  11985:30 top
  16583 root      20   0  502212  73356  10424 S  57.9   0.0  56585:38 nv-host+
 150919 skataok+  20   0   71712   8752   3900 R  57.9   0.0   0:00.41 top
  11974 root      20   0 6966916   1.7g   1.5g S   5.3   0.1  12125:21 falcon-+
   7811 root      39  19       0      0      0 S   2.6   0.0 850:21.32 kipmi0
  89696 root      20   0  947704 100468  16780 S   2.6   0.0   1:17.48 ir_agent
      1 root      20   0  241780  12424   8048 S   0.0   0.0  80:40.16 systemd
      2 root      20   0       0      0      0 S   0.0   0.0 325:39.67 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
