utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
0, 0, 81920, 1
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
1, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
1, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
1, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
1, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
1, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
2, 0, 81920, 79633
2, 0, 81920, 79633
0, 0, 81920, 79633
