top - 15:10:24 up 66 days, 23:50,  2 users,  load average: 6.64, 6.48, 6.37
Tasks: 3345 total,   4 running, 3341 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.2 us,  0.7 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 2064034.+total, 1511110.+free, 246615.8 used, 306307.6 buff/cache
MiB Swap:  16367.0 total,  16356.5 free,     10.5 used. 1801270.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 326782 mdasilv+  20   0  190.3g   2.2g 477984 R  94.6   0.1 823:00.89 python
1514830 mdasilv+  20   0  190.3g   2.2g 479416 R  94.6   0.1 610:34.19 python
1840106 mdasilv+  20   0  190.3g   2.2g 475404 R  94.6   0.1 522:27.07 python
4107106 skataok+  20   0   71424   8372   3900 R  54.1   0.0   0:00.41 top
  16583 root      20   0  502212  73356  10424 S  51.4   0.0  56559:29 nv-host+
2902903 root      20   0   75936  13752   4324 S  13.5   0.0  11971:03 top
    119 root      20   0       0      0      0 S   2.7   0.0   2:08.44 ksoftir+
      1 root      20   0  241780  12424   8048 S   0.0   0.0  80:38.24 systemd
      2 root      20   0       0      0      0 S   0.0   0.0 325:35.87 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
